Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
59,1,2022-10-21 00:09:43.521,0.25,0,0,2022-10-21-0328_DATABASE_1_log,,,,
60,4,2022-10-21 00:09:43.523,0.318,0,0,2022-10-21-0329_DATABASE_4_log,,,,
61,3,2022-10-21 00:09:44.265,0.319,0,0,2022-10-21-0330_DATABASE_3_log,,,,
62,1,2022-10-21 00:09:44.307,-0.06,0,0,2022-10-21-0332_DATABASE_1_log,,,,
63,4,2022-10-21 00:09:46.289,0.015,0,0,2022-10-21-0333_DATABASE_4_log,,,,
64,4,2022-10-21 00:28:54.761,0.018,0,0,2022-10-21-0334_DATABASE_4_log,,,,
65,2,2022-10-21 00:29:02.241,0,0,0,2022-10-21-0337_DATABASE_2_log,,,,
66,4,2022-10-21 00:48:36.635,0.058,0,0,2022-10-21-0338_DATABASE_4_log,,,,
67,2,2022-10-21 00:48:36.636,-0.181,0,0,2022-10-21-0343_DATABASE_2_log,,,,
68,2,2022-10-21 00:48:36.637,-0.18,0,0,2022-10-21-0345_DATABASE_2_log,,,,
69,2,2022-10-21 00:48:36.637,0,0,0,2022-10-21-0346_DATABASE_2_log,,,,
70,2,2022-10-21 00:48:36.643,-0.045,0,0,2022-10-21-0347_DATABASE_2_log,,,,
71,2,2022-10-21 00:48:36.643,-0.044,0,0,2022-10-21-0349_DATABASE_2_log,,,,
72,3,2022-10-21 00:48:36.643,0.174,0,0,2022-10-21-0350_DATABASE_3_log,,,,
73,3,2022-10-21 00:48:36.644,0.176,0,0,2022-10-21-0351_DATABASE_3_log,,,,
74,3,2022-10-21 00:48:36.644,0.333,0,0,2022-10-21-0355_DATABASE_3_log,,,,
75,3,2022-10-21 00:48:36.645,0.334,0,0,2022-10-21-0358_DATABASE_3_log,,,,
76,3,2022-10-21 00:48:36.645,0.335,0,0,2022-10-21-0400_DATABASE_3_log,,,,
77,4,2022-10-21 00:48:36.646,0.336,0,0,2022-10-21-0403_DATABASE_4_log,,,,
