Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
68,2,48:36.6,-0.18,0,0,2022-10-21-0345_DATABASE_2_log,,,,,,
69,2,48:36.6,0,0,0,2022-10-21-0346_DATABASE_2_log,,,,,,
70,2,48:36.6,-0.045,0,0,2022-10-21-0347_DATABASE_2_log,,,,,,
71,2,48:36.6,-0.044,0,0,2022-10-21-0349_DATABASE_2_log,,,,,,
72,3,48:36.6,0.174,0,0,2022-10-21-0350_DATABASE_3_log,,,,,,
73,3,48:36.6,0.176,0,0,2022-10-21-0351_DATABASE_3_log,,,,,,
74,3,48:36.6,0.333,0,0,2022-10-21-0355_DATABASE_3_log,,,,,,
75,3,48:36.6,0.334,0,0,2022-10-21-0358_DATABASE_3_log,,,,,,
76,3,48:36.6,0.335,0,0,2022-10-21-0400_DATABASE_3_log,,,,,,
77,4,48:36.6,0.336,0,0,2022-10-21-0403_DATABASE_4_log,,,,,,
78,2,48:36.6,0.337,0,0,2022-10-21-0405_DATABASE_2_log,,,,,,
79,3,48:36.6,0.338,0,0,2022-10-21-0406_DATABASE_3_log,,,,,,
80,3,48:36.6,0.339,0,0,2022-10-21-0407_DATABASE_3_log,,,,,,
81,4,48:36.7,0.34,0,0,2022-10-21-0407_DATABASE_4_log,,,,,,
82,3,48:36.7,0.34,0,0,2022-10-21-0408_DATABASE_3_log,,,,,,
83,3,48:37.8,0.341,0,0,2022-10-21-0415_DATABASE_3_log,,,,,,
84,3,53:17.4,0.345,0,0,2022-10-21-0424_DATABASE_3_log,,,,,,
85,2,01:13.5,0.346,0,0,2022-10-21-0443_DATABASE_2_log,,,,,,
86,1,01:13.5,0.346,0,0,2022-10-21-0448_DATABASE_1_log,,,,,,
87,4,01:13.5,0.347,0,0,2022-10-21-0449_DATABASE_4_log,,,,,,
88,4,01:13.5,0.349,0,0,2022-10-21-0456_DATABASE_4_log,,,,,,
89,1,01:13.5,0.188,0,0,2022-10-21-0502_DATABASE_1_log,,,,,,
90,1,01:13.5,0.19,0,0,2022-10-21-0504_DATABASE_1_log,,,,,,
91,4,01:13.6,0.092,0,0,2022-10-21-0508_DATABASE_4_log,,,,,,
92,2,01:13.6,-0.004,0,0,2022-10-21-0515_DATABASE_2_log,,,,,,
93,3,01:13.6,0.383,0,0,2022-10-21-0520_DATABASE_3_log,,,,,,
94,2,01:13.6,-0.676,0,0,2022-10-21-0523_DATABASE_2_log,,,,,,
95,2,01:13.6,0.059,0,0,2022-10-21-0526_DATABASE_2_log,,,,,,
96,3,01:13.6,-0.216,0,0,2022-10-21-0528_DATABASE_3_log,,,,,,
