Attacker No.,Database,Time Entered,Time Spent,Commands Run,Modification Attempts,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
97,4,2022-10-21 01:01:13.560,0.801,0,0,,,,
98,3,2022-10-21 01:01:13.561,-0.767,0,0,,,,
99,3,2022-10-21 01:01:13.563,-0.536,0,0,,,,
100,3,2022-10-21 01:01:13.563,-0.752,0,0,,,,
101,4,2022-10-21 01:01:13.563,-0.751,0,0,,,,
102,2,2022-10-21 01:01:13.565,-0.52,0,0,,,,
103,2,2022-10-21 01:01:13.565,0.238,0,0,,,,
104,4,2022-10-21 01:01:13.566,-0.684,0,0,,,,
105,4,2022-10-21 01:02:03.181,0.388,0,0,,,,
106,2,2022-10-21 01:02:06.870,0.853,0,0,,,,
107,3,2022-10-21 01:05:08.786,0.854,0,0,,,,
108,2,2022-10-21 01:05:08.787,-0.346,0,0,,,,
109,3,2022-10-21 01:05:08.788,-0.344,0,0,,,,
110,3,2022-10-21 01:05:08.798,-0.152,0,0,,,,
111,1,2022-10-21 01:05:08.799,-0.142,0,0,,,,
112,4,2022-10-21 01:05:08.799,-0.097,0,0,,,,
113,1,2022-10-21 01:05:08.799,-0.095,0,0,,,,
114,3,2022-10-21 01:05:08.800,-0.095,0,0,,,,
115,2,2022-10-21 01:05:08.800,-0.094,0,0,,,,
116,4,2022-10-21 01:05:08.800,-0.093,0,0,,,,
117,2,2022-10-21 01:05:08.801,-0.093,0,0,,,,
118,2,2022-10-21 01:05:08.801,-0.092,0,0,,,,
119,4,2022-10-21 01:05:08.802,-0.092,0,0,,,,
120,4,2022-10-21 01:05:08.802,-0.092,0,0,,,,
121,4,2022-10-21 01:05:08.802,-0.076,0,0,,,,
122,2,2022-10-21 01:05:08.803,-0.075,0,0,,,,
123,1,2022-10-21 01:05:08.803,-0.075,0,0,,,,
124,1,2022-10-21 01:05:08.806,0.327,0,0,,,,
125,3,2022-10-21 01:05:08.806,0.328,0,0,,,,
126,1,2022-10-21 01:05:08.807,0.099,0,0,,,,
127,1,2022-10-21 01:05:08.807,0.734,0,0,,,,
128,1,2022-10-21 01:05:09.820,-0.167,0,0,,,,
129,2,2022-10-21 01:05:09.827,0,0,0,,,,
130,2,2022-10-21 01:05:09.827,0,0,0,,,,
131,2,2022-10-21 01:05:09.828,0,0,0,,,,
132,3,2022-10-21 01:05:09.828,0,0,0,,,,
133,4,2022-10-21 01:05:09.834,0,0,0,,,,
134,1,2022-10-21 01:10:21.687,0,0,0,,,,
135,2,2022-10-21 01:10:21.942,0.572,0,0,,,,
136,3,2022-10-21 01:14:07.574,0.007,0,0,,,,
137,1,2022-10-21 01:14:07.581,0.316,0,0,,,,
138,2,2022-10-21 01:14:07.592,0.213,0,0,,,,
139,4,2022-10-21 01:14:07.593,0.099,0,0,,,,
140,1,2022-10-21 01:14:07.594,0.029,0,0,,,,
141,1,2022-10-21 01:14:07.594,0.078,0,0,,,,
142,1,2022-10-21 01:14:07.594,-0.948,0,0,,,,
143,1,2022-10-21 01:14:07.594,0.335,0,0,,,,
144,1,2022-10-21 01:14:07.595,0.321,0,0,,,,
145,1,2022-10-21 01:14:07.595,0.796,0,0,,,,
146,1,2022-10-21 01:14:07.596,0.352,0,0,,,,
147,3,2022-10-21 01:14:07.596,0.345,0,0,,,,
148,1,2022-10-21 01:14:07.600,0.371,0,0,,,,
149,3,2022-10-21 01:14:07.600,-0.657,0,0,,,,
150,1,2022-10-21 01:14:07.600,0.076,0,0,,,,
151,1,2022-10-21 01:14:07.602,0.114,0,0,,,,
152,1,2022-10-21 01:14:07.602,0.179,0,0,,,,
153,1,2022-10-21 01:14:07.602,0.18,0,0,,,,
154,1,2022-10-21 01:14:07.602,0.18,0,0,,,,
155,1,2022-10-21 01:14:07.603,0.35,0,0,,,,
156,2,2022-10-21 01:14:07.603,-0.102,0,0,,,,
157,2,2022-10-21 01:14:07.609,-0.038,0,0,,,,
158,4,2022-10-21 01:14:07.610,0.203,0,0,,,,
159,1,2022-10-21 01:14:07.611,-0.73,0,0,,,,
160,2,2022-10-21 01:14:07.611,-0.69,0,0,,,,
161,2,2022-10-21 01:14:07.611,-0.673,0,0,,,,
162,1,2022-10-21 01:14:09.135,-0.631,0,0,,,,
163,2,2022-10-21 01:14:09.148,-0.615,0,0,,,,
164,2,2022-10-21 01:14:09.149,-0.614,0,0,,,,
165,2,2022-10-21 01:14:09.151,-0.41,0,0,,,,
166,3,2022-10-21 01:14:09.152,-0.356,0,0,,,,
167,3,2022-10-21 01:14:09.152,0,0,0,,,,
168,3,2022-10-21 01:14:09.152,0.469,0,0,,,,
169,1,2022-10-21 01:14:11.161,0.47,0,0,,,,
170,4,2022-10-21 01:14:15.034,0.632,0,0,,,,
171,1,2022-10-21 01:14:25.168,0.633,0,0,,,,
172,1,2022-10-21 01:14:25.168,0.634,0,0,,,,
173,2,2022-10-21 01:18:51.023,0.634,0,0,,,,
174,1,2022-10-21 01:18:51.027,0.635,0,0,,,,
175,2,2022-10-21 01:18:51.045,0.646,0,0,,,,
176,2,2022-10-21 01:18:51.045,0.647,0,0,,,,
177,3,2022-10-21 01:18:51.045,0.65,0,0,,,,
178,3,2022-10-21 01:18:51.047,0.652,0,0,,,,
179,1,2022-10-21 01:18:51.047,0.659,0,0,,,,
180,2,2022-10-21 01:18:51.047,0.666,0,0,,,,
181,1,2022-10-21 01:18:51.048,0.667,0,0,,,,
182,4,2022-10-21 01:18:51.048,0.668,0,0,,,,
183,1,2022-10-21 01:18:51.049,0.676,0,0,,,,
184,1,2022-10-21 01:18:51.049,0.677,0,0,,,,
185,1,2022-10-21 01:18:51.049,0.677,0,0,,,,
186,3,2022-10-21 01:18:51.050,0.679,0,0,,,,
187,2,2022-10-21 01:18:51.050,-0.66,0,0,,,,
188,1,2022-10-21 01:18:51.050,0.051,0,0,,,,
189,2,2022-10-21 01:18:51.051,-0.731,0,0,,,,
190,2,2022-10-21 01:18:51.051,0.014,0,0,,,,
